composer_id,composer_name,popularity
1349100,Karel Vágner,4.98
1458291,Vadim Petrov,4.92
1566046,Shin Kono,4.197
2333296,Jan Rotter,0.702
1948210,Jaroslav Krček,0.896
1693529,Tom Darom,1.708
1693530,Assa Raviv,0.85
1851889,Corrado Carosio,2.206
1851891,Pierangelo Fornaro,0.892
563736,Andrea von Foerster,2.682
1069688,Thomas Golubić,3.126
1183275,Ferdinand Havlík,2.375
3374355,Kujira Yumemi,0.666
2887709,Ryutaro Usukura,2.439
1424903,Svetozár Stračina,1.785
1375197,Pepijn Caudron,3.552
1411614,Petr Ostrouchov,2.015
1686992,Micah Dahl Anderson,0.074
3919981,Sage Williams,0.022
4723850,Erik Maloy,0.006
590925,Kouhei Tanaka,7.237
1136047,Mina Kubota,3.71
4293477,Dj Ready D,0.09
3161208,Pierre-Henri Wicomb,0.721
78361,Yuji Nomi,2.892
1079040,Hiroya Watanabe,2.821
1125622,Fonny De Wulf,0.062
1299507,Kim Tae-seong,8.514
63693,Taro Iwashiro,8.291
53012,Lyle Workman,2.517
2108379,Cyril de Turckheim,0.005
29798,Franz Schubert,5.779
1200057,Masamichi Amano,1.4
32159,Marc Wilkinson,5.688
4390459,Naresh Sohal,0.005
222335,Yoshihisa Hirano,4.297
1361292,Hideki Taniuchi,2.103
4487438,Suad Bushnaq,0.89
3153327,Alison Wonderland,1.483
554535,Toshiyuki Watanabe,7.993
2052104,Koji Asano,0.44
3153323,Horacio Saavedra,1.168
2581950,Mauricio Guzman,0.609
3060043,Martyn Swain,1.146
1327849,Kurt Farquhar,2.323
4207292,Gerald 'Gee Gee' Harbour,1.021
1433682,Motoi Sakuraba,1.578
1537110,Billy Gottlieb,4.998
1586226,Joe Deveau,2.755
54599,Jeff Cardoni,4.727
1938,Henry Mancini,13.901
58124,Arthur Kempel,4.238
2684857,Richard Lewis Warren,2.288
1453854,Ihor Melnychuk,0.969
1148735,Robert Prince,2.341
12417,Billy Goldenberg,8.386
1193291,Thomas Rouch,1.256
1323512,Cornel Wilczek,6.327
1505086,Jemma Burns,2.376
2206435,Khaled Mouzanar,0.661
1017009,Matthew Herbert,1.488
2061882,Pedro de Tavira,2.471
55177,Marcelo Zarvos,9.639
1801438,Keiichi Ogawa,0.052
1801439,Tomoko Shibuya,3.431
550657,Toshihiko Sahashi,6.153
3349316,Yasuo Tsuchida,0.087
1991905,Oleg Litvishko,1.296
134463,Jorge Arriagada,5.771
2038028,Kai Schoormann,2.194
1323220,Steffen Kaltschmid,3.105
6676,Fabian Römer,3.409
1708087,Dominik Giesriegl,2.363
66060,Christoph Zirngibl,1.721
1365557,Alex Komlew,2.37
1393047,Ryo Kunihiko,1.518
1576594,Koji Ueno,2.323
2490398,Taku Inoue,1.043
2491003,Kazuki Yanagawa,2.828
1691548,Yukari Hashimoto,4.32
1464066,Ahmet Kenan Bilgic,0.374
1464067,Taner Yücel,1.613
144660,Satoru Kosaki,7.923
2811977,Masanori Takumi,2.472
982921,Osvaldo Montes,2.283
2149279,Yukako Inoue,2.075
2149281,Hisaaki Hogari,1.246
1669751,Will Hyde,1.411
2538310,Keiichi Nozaki,2.079
47326,Frans Bak,2.057
1896674,René Dohmen,2.888
54879,Joachim Dürbeck,3.258
1608753,Koichi Morita,0.337
2014960,John Arthur Calder,0.05
2173559,Pavel Blatný,2.332
2729449,Milan Slimáček,1.22
1628929,Neel Dutt,2.681
1918418,Tatsuya Nishiwaki,0.92
2775348,Cheng-Hsien Yu,0.917
3668645,Tai-Hsiang Chen,0.065
1000854,Nathan Halpern,3.836
2900061,Sanath Bharadwaj,1.264
1123380,Toshio Masuda,11.368
3322178,Tim Burns,2.068
1414789,Bert Breit,2.162
1468752,Jeff Morrow,1.243
1474487,Eitetsu Hayashi,4.915
104715,Kaoru Wada,5.929
1274141,Erma E. Levin,3.074
2167869,David Cates,0.555
16748,George Duning,10.144
1519335,David Burns,0.372
1194020,Samuel Sim,5.545
1989317,Kazz Toyama,1.755
2486345,Cem Özkan,0.611
2758848,Tonko Yutronic,1.215
2758783,Claudio Ceardi,0.629
2758849,Sergio Contreras,0.808
1336793,Otmar Mácha,2.817
1733640,Kazuo Otani,1.479
2856257,Flavio Gargano,0.385
2237190,Kazunari Sengoku,2.461
40839,Brian Reitzell,8.469
211454,Wynton Marsalis,3.744
1112567,David Cieri,0.539
1604983,Doug Wamble,0.626
83981,Jeff Ament,4.992
2573709,Albert Fox,4.04
2270607,John Enroth,2.015
1551840,Steve Griffen,1.214
9217,Lalo Schifrin,10.448
4494027,Frank Gari,0.001
2241000,Les Hooper,2.125
59355,Artie Kane,4.493
959524,Lance Rubin,3.592
2509768,Lyubov Vvedenskaya,0.907
2375298,Vitaly Mukanyaev,0.338
966054,Gerald Brunskill,3.773
87255,Cyndi Lauper,9.526
1258605,Bill Dyer,1.249
70584,Gökhan Kırdar,5.755
1528155,Malcolm Lindsay,0.234
2177937,Ale Acosta,1.613
2794067,Yoshiki Kobayashi,4.195
1277428,Toto Cutugno,4.24
936727,Gigi D'Alessio,2.584
1174700,Al Bano,7.82
93124,Raffaella Carrà,14.164
1738471,Koichiro Kameyama,1.108
2722622,Masaya Matsuura,0.72
2722626,Yasushi Kurobane,0.16
2722627,Yoshihisa Suzuki,0.041
1596682,Guillaume Ballee,1.071
1596685,Alexis Dernaucourt,0.005
1596683,Noem Kaniél,0.083
1596684,Jonathan Dernaucourt,0.002
1596675,Balak,4.196
2164442,Taro Makido,2.619
544515,Zdeněk Liška,3.234
1596877,Ryo Kawakami,1.394
1596876,Kimio Nomura,2.092
10724,Richard Rodney Bennett,1.86
5912,Graeme Revell,8.895
3194122,Im Hyeon gi,0.063
57892,Ken Thorne,5.188
76532,Jed Whedon,4.893
12891,Joss Whedon,19.516
71383,Andreas Grimm,2.85
2803652,Daniel Díaz Gallardo,0.012
17132,Shiro Sagisu,11.607
548000,Michiaki Katoh,2.316
4442193,Marc McClusky,0.104
3592868,Andrea Volpe,0.104
3329923,Keiichi Sotomura,1.819
3421335,Tadahito Kimura,0.568
73191,Michiru Oshima,10.664
81722,Kiyoshi Yoshida,0.805
1165232,Susumu Ueda,1.38
1368258,Akito Matsuda,4.67
1352116,Takayuki Negishi,4.369
4469854,Yumi Tōno,0.172
1714546,Alan Parker,1.642
